year,month,date_month,parent_region,region,penderita_dbd,meninggal,periode_data,data_origin,is_complete_year
2015,3,2015-03-01,JAKARTA TIMUR,MATRAMAN,11,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA TIMUR,PASAR REBO,8,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA TIMUR,PULO GADUNG,18,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA UTARA,CILINCING,31,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA UTARA,KELAPA GADING,18,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA UTARA,KOJA,27,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA UTARA,PADEMANGAN,10,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA UTARA,PENJARINGAN,0,0,201503,real_jakarta,True
2015,3,2015-03-01,JAKARTA UTARA,TANJUNG PRIOK,14,0,201503,real_jakarta,True
2015,3,2015-03-01,KABUPATEN KEPULAUAN SERIBU,KEP. SERIBU SELATAN,0,0,201503,real_jakarta,True
2015,3,2015-03-01,KABUPATEN KEPULAUAN SERIBU,KEP. SERIBU UTARA,0,0,201503,real_jakarta,True
2015,4,2015-04-01,JAKARTA BARAT,CENGKARENG,82,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA BARAT,GROGOL PETAMBURAN,39,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA BARAT,KALIDERES,39,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA BARAT,KEBON JERUK,18,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA BARAT,KEMBANGAN,13,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA BARAT,PALMERAH,9,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA BARAT,TAMAN SARI,7,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA BARAT,TAMBORA,30,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA PUSAT,CEMPAKA PUTIH,13,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA PUSAT,GAMBIR,5,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA PUSAT,JOHAR BARU,7,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA PUSAT,KEMAYORAN,39,0,201504,real_jakarta,True
2015,4,2015-04-01,JAKARTA PUSAT,MENTENG,7,0,201504,real_jakarta,True
